Type,Date,City,State,Address,Website_URL,Phone_Number,Details_URL
outdoor,2015-05-15,Coatesville, PA,,,,http://pa.milesplit.com/meets/198022-piaa-district-1-aa-championships
outdoor,2015-05-16,Greensboro, NC,,,,http://co.milesplit.com/meets/195388-nchsaa-2a-state-championship
outdoor,2015-05-14,Lakewood, CO,,,,http://co.milesplit.com/meets/170347-colorado-state-track-and-field-championships
outdoor,2015-05-15,Greensboro, NC,,,,http://co.milesplit.com/meets/195390-nchsaa-1a-state-championship
outdoor,2015-05-14,Austin, TX,,http://tx.milesplit.com/teams/UT,,http://co.milesplit.com/meets/190855-uil-track-and-field-championship
outdoor,2015-05-15,Boise, ID,,http://id.milesplit.com/teams/IHSAA,,http://co.milesplit.com/meets/191394-idaho-state-t-f-championship-4a-5a
outdoor,2015-05-14,Pittsburgh, PA,,,,http://pa.milesplit.com/meets/197399-piaa-district-7-aa-aaa-championships
outdoor,2015-05-15,Middleton , ID,,http://id.milesplit.com/teams/IHSAA,,http://co.milesplit.com/meets/191393-idaho-state-t-f-championship-1a-2a-3a
outdoor,2015-05-14,Altoona, PA,,http://PA.milesplit.com/teams/1260,,http://pa.milesplit.com/meets/195836-piaa-district-6-aaa-championships
outdoor,2015-05-12,Evensville, TN,,http://TN.milesplit.com/teams/Rhea,,http://tn.milesplit.com/meets/190307-tssaa-aaa-section-2-sectional
outdoor,2015-05-12,Altoona, PA,,http://PA.milesplit.com/teams/1260,,http://pa.milesplit.com/meets/195835-piaa-district-6-aa-championships
outdoor,2015-05-14,Jefferson, GA,,http://GA.milesplit.com/teams/Jeffr,,http://ga.milesplit.com/meets/195144-georgia-olympics
outdoor,2015-05-09,Greensboro, NC,,,,http://co.milesplit.com/meets/195384-nchsaa-4a-state-championship
outdoor,2015-05-11,, TN,,http://tn.milesplit.com/teams/HardV,,http://co.milesplit.com/meets/190305-tssaa-aaa-section-1-sectional
outdoor,2015-05-09,Claremont, NC,,http://nc.milesplit.com/teams/BUNK,,http://co.milesplit.com/meets/195408-nchsaa-2a-west-regional
outdoor,2015-05-08,Longmont, CO,,http://CO.milesplit.com/teams/LONG,,http://co.milesplit.com/meets/184414-st-vrain-invitational
outdoor,2015-05-09,High Point,NC,,http://nc.milesplit.com/teams/TWA,,http://co.milesplit.com/meets/195406-nchsaa-2a-mideast-regional
outdoor,2015-05-09,Monroe, NC,,http://nc.milesplit.com/teams/MNROE,,http://co.milesplit.com/meets/195407-nchsaa-2a-midwest-regional
outdoor,2015-05-09,, NC,,,,http://co.milesplit.com/meets/195405-nchsaa-2a-east-regional
outdoor,2015-05-09,Boone, NC,,http://nc.milesplit.com/teams/AVERY,,http://co.milesplit.com/meets/195400-nchsaa-1a-west-regional
outdoor,2015-05-09,Danbury, NC,,http://nc.milesplit.com/teams/NSTKS,,http://co.milesplit.com/meets/195401-nchsaa-1a-midwest-regional
outdoor,2015-05-09,Burgaw, NC,,http://NC.milesplit.com/teams/TRSK,,http://nc.milesplit.com/meets/195402-nchsaa-1a-mideast-regional
outdoor,2015-05-09,, NC,,,,http://co.milesplit.com/meets/195404-nchsaa-1a-east-regional
outdoor,2015-05-09,Bradenton, FL,,http://FL.milesplit.com/teams/FLYRA,,http://fl.milesplit.com/meets/187237-flyra-middle-school-state-championship
outdoor,2015-05-08,Richmond, VA,,http://VA.milesplit.com/teams/KF,,http://va.milesplit.com/meets/201859-southern-track-classic
outdoor,2015-05-08,Richmond, VA,,http://VA.milesplit.com/teams/KF,,http://va.milesplit.com/meets/197309-southern-track-classic
outdoor,2015-05-09,Pearl, Ms,,http://MS.milesplit.com/teams/MSHSA,,http://ms.milesplit.com/meets/194729-mhsaa-state-championships-2a-4a-6a
outdoor,2015-05-08,Albuquerque, NM,,http://nm.milesplit.com/teams/UNM,,http://co.milesplit.com/meets/198969-new-mexico-1a-3a-state-track-and-field-championships
outdoor,2015-05-08,Greensboro, NC,,,,http://co.milesplit.com/meets/195387-nchsaa-3a-state-championship
outdoor,2015-05-08,Pearl, Ms,,http://MS.milesplit.com/teams/MSHSA,,http://ms.milesplit.com/meets/194730-mhsaa-state-championships-1a-3a-5a
outdoor,2015-05-07,West Mifflin, PA,,,,http://pa.milesplit.com/meets/197407-wpial-aaa-south-section-qualifier
outdoor,2015-05-07,Gibsonia, PA,,,,http://pa.milesplit.com/meets/197406-wpial-aaa-north-section-qualifier
outdoor,2015-05-08,Mesa, AZ,,http://az.milesplit.com/teams/MESAC,,http://co.milesplit.com/meets/193685-aia-division-4-state-championships
outdoor,2015-05-07,Albany, GA,,http://GA.milesplit.com/teams/DRTY,,http://ga.milesplit.com/meets/195143-ghsa-girls-state-track-championships
outdoor,2015-05-07,White Plains, NY,,http://NY.milesplit.com/teams/WHPLN,,http://ny.milesplit.com/meets/195588-48h-glenn-d-loucks-games
outdoor,2015-05-07,North Huntingdon, PA,,,,http://pa.milesplit.com/meets/197403-wpial-aaa-central-section-qualifier
outdoor,2015-05-07,Hookstown, PA,,,,http://pa.milesplit.com/meets/197401-wpial-aa-south-section-qualifier
outdoor,2015-05-07,Pittsburgh, PA,,,,http://pa.milesplit.com/meets/197400-wpial-aa-north-section-qualifier
outdoor,2015-05-06,Mesa, AZ,,http://az.milesplit.com/teams/MESAC,,http://co.milesplit.com/meets/193682-aia-division-1-state-championships
outdoor,2015-05-02,McComb, MS,,http://ms.milesplit.com/teams/MCCO,,http://co.milesplit.com/meets/203466-south-state-4a
outdoor,2015-05-06,Mesa, AZ,,http://az.milesplit.com/teams/MESAC,,http://co.milesplit.com/meets/193683-aia-division-2-state-championships
outdoor,2015-05-02,Sacramento, CA,,http://ca.milesplit.com/teams/AMERI,,http://co.milesplit.com/meets/190136-sacramento-meet-of-champions
outdoor,2015-05-02,Shoreline, WA,,,,http://co.milesplit.com/meets/193136-shoreline-invitational
outdoor,2015-05-02,Madison, MS,,http://MS.milesplit.com/teams/MADI,,http://ms.milesplit.com/meets/203464-north-state-6a-and-south-state-1a
outdoor,2015-05-02,Boone, NC,,http://nc.milesplit.com/teams/WAT,,http://co.milesplit.com/meets/195395-nchsaa-4a-west-regional
outdoor,2015-05-02,Greensboro, NC,,http://nc.milesplit.com/teams/DUD,,http://co.milesplit.com/meets/195394-nchsaa-4a-midwest-regional
outdoor,2015-05-02,Southern Pines, NC,,http://nc.milesplit.com/teams/PINE,,http://co.milesplit.com/meets/195391-nchsaa-4a-east-regional
outdoor,2015-05-02,Asheville, NC,,http://nc.milesplit.com/teams/ACR,,http://co.milesplit.com/meets/195399-nchsaa-3a-west-regional
outdoor,2015-05-02,, NC,,,,http://co.milesplit.com/meets/195392-nchsaa-4a-mideast-regional
outdoor,2015-05-02,Greensboro, NC,,http://nc.milesplit.com/teams/EALAM,,http://co.milesplit.com/meets/195397-nchsaa-3a-mideast-regional
outdoor,2015-05-02,Wendell, NC,,http://nc.milesplit.com/teams/CORIN,,http://co.milesplit.com/meets/195396-nchsaa-3a-east-regional
outdoor,2015-05-02,Matthews, NC,,http://nc.milesplit.com/teams/WED,,http://co.milesplit.com/meets/195398-nchsaa-3a-midwest-regional
outdoor,2015-05-02,Kirkland, WA,,http://wa.milesplit.com/teams/LKWSH,,http://co.milesplit.com/meets/193132-39th-annual-lake-washington-invitational
outdoor,2015-05-01,Saline, MI,,http://MI.milesplit.com/teams/SALIN,,http://mi.milesplit.com/meets/191791-golden-triangle-invitational
outdoor,2015-05-01,Charlottesville, VA,,http://VA.milesplit.com/teams/ALBE,,http://va.milesplit.com/meets/190059-dogwood-track-classic
outdoor,2015-05-01,Portland, OR,,http://OR.milesplit.com/teams/Jes,,http://or.milesplit.com/meets/192847-nike-jesuit-twilight-relays
outdoor,2015-05-01,Jacksonville, FL,,http://fl.milesplit.com/teams/UNF,,http://co.milesplit.com/meets/191473-fhsaa-outdoor-state-finals-friday
outdoor,2015-05-01,Pittsburgh, PA,,http://PA.milesplit.com/teams/1317,,http://pa.milesplit.com/meets/197371-42nd-annual-baldwin-invitational
outdoor,2015-04-25,Natchez, MS,,http://ms.milesplit.com/teams/NATC,,http://co.milesplit.com/meets/200779-region-3-5a
outdoor,2015-04-24,Littleton, CO,,http://CO.milesplit.com/teams/HERI,,http://co.milesplit.com/meets/190488-liberty-bell-invitational
outdoor,2015-04-24,Colorado Springs, CO,,http://CO.milesplit.com/teams/CORO,,http://co.milesplit.com/meets/201813-coronado-cougar-classic
outdoor,2015-05-01,West Chester, PA,,http://PA.milesplit.com/teams/1064,,http://pa.milesplit.com/meets/193542-10th-nike-henderson-track-field-invitational
outdoor,2015-04-25,Meridian, MS,,http://MS.milesplit.com/teams/MERI,,http://ms.milesplit.com/meets/199457-region-3-4a-and-3-6a
outdoor,2015-04-25,Mission Viejo, CA,,http://ca.milesplit.com/teams/MVJHS,,http://co.milesplit.com/meets/190117-orange-county-championships
outdoor,2015-04-25,Ridgeland, MS,,http://ms.milesplit.com/teams/MRA,,http://co.milesplit.com/meets/202082-mra-invitational
outdoor,2015-04-25,Murrieta, CA,,http://ca.milesplit.com/teams/VMHS,,http://co.milesplit.com/meets/190114-inland-empire-county-championships
outdoor,2015-04-24,Cleveland, TN,,http://TN.milesplit.com/teams/WVHS,,http://tn.milesplit.com/meets/190289-tennesseerunner-middle-school-meet-of-champions
outdoor,2015-04-24,Louisville, KY,,http://KY.milesplit.com/teams/east,,http://ky.milesplit.com/meets/188702-eastern-relays
outdoor,2015-04-24,Madison, AL,,http://AL.milesplit.com/teams/jamc,,http://al.milesplit.com/meets/203161-ahsaa-7a-section-4
outdoor,2015-04-24,St. Paul, MN,,,,http://co.milesplit.com/meets/192262-hamline-elite-meet
outdoor,2015-04-24,Mountain Brook, AL,,http://AL.milesplit.com/teams/MTBR,,http://al.milesplit.com/meets/203160-ahsaa-7a-section-3
outdoor,2015-04-24,Mobile, AL,,http://AL.milesplit.com/teams/MCTO,,http://al.milesplit.com/meets/203158-ahsaa-7a-section-1
outdoor,2015-04-24,Smiths Station, AL,,http://AL.milesplit.com/teams/SMTH,,http://al.milesplit.com/meets/203159-ahsaa-7a-section-2
outdoor,2015-04-24,Fort Payne, AL,,http://AL.milesplit.com/venues/12902,,http://al.milesplit.com/meets/203156-ahsaa-6a-section-4
outdoor,2015-04-24,Beauregard, AL,,http://AL.milesplit.com/venues/5185,,http://al.milesplit.com/meets/203150-ahsaa-5a-section-2
outdoor,2015-04-24,Mountain Brook, AL,,http://AL.milesplit.com/teams/MTBR,,http://al.milesplit.com/meets/203155-ahsaa-6a-section-3
